cas_number,label,table_link,db_id,indication
569-57-3,Chlorotrianisene,1872X1616,DB00269,"Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth."
93390-81-9,Fosphenytoin,1872X1648,,"For the control of generalized convulsive status epilepticus and prevention and treatment of seizures occurring during neurosurgery. It can also be substituted, short-term, for oral phenytoin."
,RPR131247,1872X1689,DB02744,
,"Heptane-1,2,3-Triol",1872X1728,DB04079,
142128-57-2,Levoketoconazole,1872X1770,,Investigated for use/treatment in diabetes mellitus type 2.
,(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,1872X1811,,
,"1-(3-bromophenyl)-7-chloro-6-methoxy-3,4-dihydroisoquinoline",1872X1844,,
29122-68-7,Atenolol,1873X1618,DB00335,For the management of hypertention and long-term management of patients with angina pectoris
86052-04-2,3-Methylthiofentanyl,1873X1651,,
58-96-8,Uridine,1873X1689,DB02745,
,"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",1873X1724,DB03944,
,VX-702,1873X1767,,"Investigated for use/treatment in coronary artery disease, inflammatory disorders (unspecified), and rheumatoid arthritis."
,"N,N'-[biphenyl-4,4'-diyldi(2R)propane-2,1-diyl]dimethanesulfonamide",1873X1811,,
162394-19-6,Palifermin,1874X1609,DB00039,For treatment of oral mucositis associated with chemotherapy and radiation therapy.
22916-47-8,Miconazole,1874X1642,DB01110,"For topical application in the treatment of tinea pedis (athlete&rsquo;s foot), tinea cruris, and tinea corporis caused by <i>Trichophyton rubrum</i>, <i>Trichophyton mentagrophytes</i>, and <i>Epidermophyton floccosum</i>, in the treatment of cutaneous candidiasis (moniliasis), and in the treatment of tinea versicolor."
,Beta(2-Thienyl)Alanine,1874X1716,DB03673,
524067-21-8,Becocalcidiol,1874X1752,,For topical treatment of psoriasis and psoriatic disorders.
,"N-(2-chloro-6-methylphenyl)-8-[(3S)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine",1874X1829,,
916072-89-4,Naldemedine,1874X1902,,For the treatment of opioid-induced constipation [FDA Label].
115956-12-2,Dolasetron,1875X1631,DB00757,"For the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy, including initial and repeat courses of chemotherapy. Also used for the prevention of postoperative nausea and vomiting. This drug can be used intravenously for the treatment of postoperative nausea and vomiting."
,Argininosuccinate,1875X1675,DB02267,
,Cardiolipin,1875X1709,DB03429,
,Cyclohexyl-pentyl-maltoside,1875X1745,,
,3-(1H-BENZIMIDAZOL-2-YL)-1H-INDAZOLE,1875X1826,,
90-05-1,Guaiacol,1875X1897,,"It is used medicinally as an expectorant, antiseptic, and local anesthetic. Guaiacol is used in traditional dental pulp sedation, and has the property of inducing cell proliferation; guaiacol is a potent scavenger of reactive oxygen radicals and its radical scavenging activity may be associated with its effect on cell proliferation."
113665-84-2,Clopidogrel,1876X1631,DB00758,"For the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease."
85-61-0,Coenzyme A,1876X1667,DB01992,
34980-66-0,beta-D-Ribose-5-phosphate,1876X1736,DB04352,
130308-48-4,Icatibant,1876X1779,,"Approved for use in acute attacks of hereditary angioedema (HAE). Investigated for use/treatment in angioedema, liver disease, and burns and burn infections."
,PHOSPHONIC ACID 2-DODECANOYLAMINO-HEXYL ESTER PROPYL ESTER,1876X1817,,
,3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE,1876X1849,,
115-44-6,Talbutal,1877X1617,DB00306,For use as a sedative and hypnotic.
65-82-7,N-Acetylmethionine,1877X1657,DB01646,
,"4-O-(4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Beta-D-Lyxo-Hexopyranosyl)-Alpha-D-Erythro-Hexopyranose",1877X1693,DB02889,
6600-40-4,Norvaline,1877X1731,DB04185,
,99mTc-14 F7 Mab,1877X1774,,Investigated for use/treatment in breast cancer.
,"4-[(1S,2R,5S)-4,4,8-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",1877X1845,,
153559-49-0,Bexarotene,1878X1616,DB00307,Used orally for the treatment of skin manifestations of cutaneous T-cell lymphoma (CTCL) in patients who are refractory to at least one prior systemic therapy. Also used topically for the treatment of skin lesions in early (stage IA and IB) CTCL in patients who experience refractory or persistent disease with the use of other therapies or are intolerant of other therapies.
524-84-5,Dimethylthiambutene,1878X1650,,Dimethylthiambutene is an opioid analgesic previously used in moderate pain relief.
420-04-2,Cyanamide,1878X1686,DB02679,
,TBC-3711,1878X1764,,"Investigated for use/treatment in congestive heart failure, hypertension, and pulmonary hypertension."
,"BENZYL 6-BENZYL-5,7-DIOXO-6,7-DIHYDRO-5H-[1,3]THIAZOLO[3,2-C]PYRIMIDINE-2-CARBOXYLATE",1878X1843,,
152923-57-4,Lutropin alfa,1879X1608,DB00044,For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L)
,KD3010,1879X1759,,Investigated for use/treatment in metabolic disease and obesity.
,4-BROMO-3-(CARBOXYMETHOXY)-5-(4-HYDROXYPHENYL)THIOPHENE-2-CARBOXYLIC ACID,1879X1802,,
,"2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE",1879X1837,,
4345-03-3,alpha-Tocopherol succinate,1879X1954,DB14001,"The primary health-related use for which alpha-tocopherol succinate is formally indicated is as a dietary supplement for patients who demonstrate a genuine vitamin E deficiency. At the same time, vitamin E deficiency is generally quite rare but may occur in premature babies of very low birth weight (< 1500 grams), individuals with fat-malabsorption disorders (as fat is required for the digestive tract to absorb vitamin E), or individuals with abetalipoproteinemia - a rare, inherited disorder that causes poor absorption of dietary fat - who require extremely large doses of supplemental vitamin E daily (around 100 mg/kg or 5-10 g/day) [L2120]. In all such cases, alpha-tocopherol is largely the preferred form of vitamin E to be administered.    Elsewhere, vitamin E's chemical profile as a fat-soluble antioxidant that is capable of neutralizing free radicals in the body continues to generate ongoing interest and study regarding how and whether or not the vitamin can help prevent or delay various chronic diseases associated with free radicals or other potential biological effects that vitamin E possesses like cardiovascular diseases, diabetes, ocular conditions, immune illnesses, cancer, and more [T166]. None of these ongoing studies have yet to elucidate any formally significant evidence, however [T166].    Similarly, more effective clinical trials are necessary to confirm what has only been accrued as preliminary data when it comes to studies proposing the demonstration of alpha-tocopherol succinate's capability to act as an anti-cancer therapy or as a regulator of inflammation [L2699, A32958, A32959]."
7187-66-8,Trimethaphan,1880X1641,DB01116,For the controlled reduction of blood pressure during surgery and in the treatment of hypertensive emergencies.
,Adenosine Monotungstate,1880X1677,DB02373,
,(11E)-OCTADEC-11-ENOIC ACID,1880X1748,,
,"3-[(4-fluorophenyl)sulfanyl]-N-(4-methyl-1,3-thiazol-2-yl)-6-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]pyridine-2-carboxamide",1880X1807,,
,(2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol,1880X1840,,
300-62-9,Amphetamine,1881X1612,DB00182,"For treatment of Attention Deficit Disorder with Hyperactivity (ADDH), narcolepsy, and exogenous obesity as a short term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction for patients refractory to alternative therapy."
,FX06,1881X1769,,Investigated for use/treatment in cardiac reperfusion injury and myocardial infarction.
,"6-(2-fluorophenyl)-N-(pyridin-3-ylmethyl)imidazo[1,2-a]pyrazin-8-amine",1881X1842,,
5534-95-2,Pentagastrin,2250X1612,DB00183,Used as a diagnostic aid for evaluation of gastric acid secretory function
22664-55-7,Metipranolol,2250X1644,DB01214,Indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open angle glaucoma.
1191-87-3,Pentaglyme,2250X1683,DB02580,
,2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid,2250X1719,DB03821,
,ADL5859,2250X1755,,Investigated for use/treatment in pain (acute or chronic).
,6-(DIFLUORO-PHOSPHONO-METHYL)-NAPHTHALENE-2-CARBOXYLIC ACID,2250X1838,,
133652-38-7,Reteplase,2251X1607,DB00015,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction"
364-98-7,Diazoxide,2251X1641,DB01119,Used parentally to treat hypertensive emergencies. Also used to treat hypoglycemia secondary to insulinoma.
,GC-24,2251X1718,DB03788,
,MCC,2251X1761,,Bladder cancer
,"THIOPHENE-2,5-DISULFONIC ACID 2-AMIDE-5-(4-METHYL-BENZYLAMIDE)",2251X1807,,
54063-32-0,Clobetasone,2251X1945,,"In dermatology, topical clobestasone butyrate helps to reduce the itchiness and erythema associated with eczema and dermatitis.  In ophthalmology, clobetasone butyrate 0.1% eye drops have been shown to be safe and effective in the treatment of dry eyes in Sjögren's Syndrome."
78919-13-8,Iloprost,2252X1640,DB01088,Used for the treatment of pulmonary arterial hypertension.
,CP-945598,2252X1763,,Investigated for use/treatment in obesity.
,"3-bromo-5-phenyl-N-(pyridin-3-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine",2252X1842,,
63-91-2,L-Phenylalanine,2253X1610,DB00120,L-phenylalanine may be helpful in some with depression. It may also be useful in the treatment of vitiligo. There is some evidence that L-phenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs.
76-43-7,Fluoxymesterone,2253X1643,DB01185,"In males, used as replacement therapy in conditions associated with symptoms of deficiency or absence of endogenous testosterone. In females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal."
,3-Phosphoglycerol,2253X1681,DB02515,
,"7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline",2253X1719,DB03824,
185562-00-9,"2,5-Dimethoxy-4-ethylthioamphetamine",2253X1952,,
7648-98-8,Ambenonium,2254X1641,DB01122,Ambenonium is used to treat muscle weakness due to muscle disease (myasthenia gravis).
,Etheno-Nad,2254X1680,DB02483,
,"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",2254X1718,DB03791,
,NRP409,2254X1760,,For use in treatment of hypothyroidism.
,(2S)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,2254X1811,,
3380-34-5,Triclosan,2254X1844,,"Triclosan is used in a variety of common household products, including soaps, mouthwashes, dish detergents, toothpastes, deodorants, and hand sanitizers.  It is also used in health care settings in surgical scrubs and personnel hand washes."
12629-01-5,Somatotropin,2255X1608,DB00052,"For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss"
,"6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",2255X1682,DB02551,
317318-70-0,GW-501516,2255X1764,DB05416,Investigated for use/treatment in hyperlipidemia.
,"(3aS)-3a-hydroxy-7-methyl-1-phenyl-1,2,3,3a-tetrahydro-4H-pyrrolo[2,3-b]quinolin-4-one",2255X1810,,
113-18-8,Ethchlorvynol,2256X1612,DB00189,"Used for short-term hypnotic therapy in the management of insomnia for periods of up to one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents."
145375-43-5,Mitiglinide,2256X1645,,For the treatment of type 2 diabetes.
66575-29-9,Colforsin,2256X1683,DB02587,
,GW 468816,2256X1764,,Investigated for use/treatment in tobacco dependence.
160003-66-7,Iniparib,2256X1950,DB13877,
,Indirubin-5-Sulphonate,2257X1681,DB02519,
69408-81-7,Amonafide,2257X1754,,"Investigated for use/treatment in breast cancer, ovarian cancer, and prostate cancer."
,2-(4-HYDROXY-5-PHENYL-1H-PYRAZOL-3-YL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,2257X1802,,
531-95-3,Equol,2257X1900,,
192755-52-5,Pralnacasan,2258X1750,,For the treatment of rheumatoid arthritis (RA).
,"2-[(2-chloro-4-iodophenyl)amino]-N-{[(2R)-2,3-dihydroxypropyl]oxy}-3,4-difluorobenzamide",2258X1797,,
,"{[(2,6-difluorophenyl)carbonyl]amino}-N-(4-fluorophenyl)-1H-pyrazole-3-carboxamide",2258X1830,,
7446-70-0,Aluminum chloride,2258X1889,,- Indicated for the control of minor hemorrhage during dental restorative procedures.  - Indicated to reduce underarm perspiration.
64-18-6,Formic Acid,2259X1664,DB01942,
,N-Omega-Hydroxy-L-Arginine,2259X1699,DB03144,
,6-hydroxydopa quinone,2259X1734,DB04334,
61337-87-9,Esmirtazapine,2259X1786,,Investigated for use/treatment in insomnia and sleep disorders.
,(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE,2259X1822,,
74772-77-3,Ciglitazone,2259X1861,,
114798-26-4,Losartan,2260X1627,DB00678,"May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors."
112-49-2,Triglyme,2260X1668,DB02078,
,2-{4-[5-(4-chlorophenyl)-4-pyrimidin-4-yl-1H-pyrazol-3-yl]piperidin-1-yl}-2-oxoethanol,2260X1824,,
59939-16-1,Cirazoline,2260X1861,,
54965-21-8,Albendazole,2261X1622,DB00518,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, <i>Taenia solium</i> and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, <i>Echinococcus granulosus</i>."
189453-10-9,Epothilone D,2261X1662,DB01873,"Investigated for use/treatment in colorectal cancer, lung cancer, breast cancer, solid tumors, and prostate cancer."
129033-04-1,Cyclotheonamide A,2261X1732,DB04269,
752222-83-6,CVT-6883,2261X1774,,Investigated for use/treatment in asthma.
2190-95-6,Decyl(dimethyl)phosphine oxide,2261X1815,,
95-25-0,Chlorzoxazone,2262X1615,DB00356,For the relief of discomfort associated with acute painful musculoskeletal conditions.
17021-26-0,Calusterone,2262X1651,,"An anabolic steroid which can theoretically aid in restauration and buildup of certain tissues, especially muscle. It is similar to synthetic testosterone and is still in early investigation. It was also investigated for use as a treatment for metastatic breast cancer."
,Bromo-Willardiine,2262X1722,DB04000,
860174-12-5,Naronapride,2262X1765,,Investigated for use/treatment in gastroesophageal reflux disease (GERD) and gastroparesis.
,"6-(3-AMINOPROPYL)-4,9-DIMETHYLPYRROLO[3,4-C]CARBAZOLE-1,3(2H,6H)-DIONE",2262X1807,,
61-19-8,Adenosine monophosphate,2263X1608,DB00131,"For nutritional supplementation, also for treating dietary shortage or imbalance"
54143-55-4,Flecainide,2263X1641,DB01195,"Flecainide is is a class Ic antiarrhythmic agent and as such, it is used for the prevention of paroxysmal supraventricular tachycardias (PSVT), including atrioventricular nodal reentrant tachycardia, atrioventricular reentrant tachycardia and other supraventricular tachycardias of unspecified mechanism associated with disablin."
,"6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine",2263X1680,DB02559,
79-09-4,Propanoic acid,2263X1715,DB03766,"Propanoic acid and various direct sodium or calcium salt formulations of the acid are currently most commonly approved and indicated by organizations like the FDA and EMA for use as an antibacterial food additive preservative in animal feed and food for human consumption [L2715, L2716].    Similarly, although the use of propanoic acid or any of its direct sodium or calcium salt formulations as excipient ingredients in pharmaceuticals is not necessarily a major role for the compound today, sodium propionate was used in some vaginal cream preparations indicated for cervicitis, cervical tears, and/or postcauterization, postcryosurgery, and postconization of the cervix [T193]. In such products, the sodium propionate was primarily used to elicit a preservative, bacteriostatic [L2710, F50] effect while other active ingredients combined in the formulation like urea, benzalkonium chloride, inositol, and methionine and cystine amino acids facilitated debridement, enhanced medication spread, epithelialization promotion, and wound healing, respectively [L2710, A32973].    Nevertheless, a great variety of propionic acid derivatives exist as separate pharmaceuticals, each with their own unique therapeutic categories, pharmacodynamics, and pharmacokinetics."
77-41-8,Methsuximide,2263X1758,,For the control of absence (petit mal) seizures that are refractory to other drugs.
,1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone,2263X1804,,
463-40-1,Alpha-Linolenic Acid,2264X1608,DB00132,For nutritional supplementation and for treating dietary shortage or imbalance.
66778-36-7,Encainide,2264X1642,DB01228,"Encainide is a class Ic antiarrhythmic agent which was used for management of irregular heartbeats, such as atrial fibrillation, atrial flutter, ventricular tachycardia, and ventricular fibrillation."
,Alpha-Hydroxy-Beta-Phenyl-Propionic Acid,2264X1678,DB02494,
143664-11-3,Elacridar,2264X1748,,For the treatment of solid tumors.
,1-(2-DEOXY-5-O-PHOSPHONO-BETA-D-ERYTHRO-PENTOFURANOSYL)-4-METHYL-1H-INDOLE,2264X1797,,
,(1Z)-4-(4-FLUOROPHENYL)-2-METHYLIDENEBUTAN-1-IMINE,2264X1829,,
34391-04-3,Levosalbutamol,2264X1942,DB13139,"Levosalbutamol's bronchodilator properties give it indications in treatment of COPD (chronic obstructive pulmonary disease, also known as chronic obstructive lung disease) and asthma."
154361-50-9,Capecitabine,2265X1638,DB01101,"For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen. May also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to, or recurred or relasped during or following anthracycline-containing chemotherapy. Capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage III colon cancer when monotherapy with fluroprymidine is preferred. The use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated."
,EM-1745,2265X1673,DB02323,
,3-Aminosuccinimide,2265X1707,DB03487,
,"S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",2265X1743,,
,{4-[2-BENZYL-3-METHOXY-2-(METHOXYCARBONYL)-3-OXOPROPYL]PHENYL}SULFAMIC ACID,2265X1793,,
,"4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL",2265X1825,,
844439-96-9,Insulin Degludec,2265X1866,,Insulin degludec is indicated to improve glycemic control in adults with diabetes mellitus.
,DPI59,1866X1703,DB03217,
9001-09-6,Chymopapain,1866X1790,,Chymopapain is indicated for the development of chemonucleolysis which is used for the digestion of the nucleus pulposus in patients with disc herniation confirmed by myelography.[A32687] A disc herniation occurs when the outer portion of the spinal disc breaks down and the inner portion (nucleus pulposus) leaks out pressing surrounding nerves and leading to irradiating pain.[L2496] The chemonucleolysis is a non-surgical treatment that involves the injection of an enzyme to dissolve the nucleus pulposus.[L2482]
36505-84-7,Buspirone,1867X1623,DB00490,"For the management of anxiety disorders or the short-term relief of the symptoms of anxiety, and also as an augmention of SSRI-treatment against depression."
3131-52-0,"3h-Indole-5,6-Diol",1867X1662,DB01811,
,Fructose,1867X1731,DB04173,
434-07-1,Oxymetholone,1867X1783,,"Indicated in the treatment of anemias caused by deficient red cell production. Acquired aplastic anemia, congenital aplastic anemia, myelofibrosis and the hypoplastic anemias due to the administration of myelotoxic drugs often respond. Oxymetholone should not replace other supportive measures such as transfusion, correction of iron, folic acid, vitamin B12 or pyridoxine deficiency, antibacterial therapy and the appropriate use of corticosteroids."
,"(2R)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",1867X1820,,
253128-41-5,Eribulin,1867X1853,DB08871,For the treatment of patients with metastatic breast cancer who have previously received at least two chemotherapeutic regimens for the treatment of metastatic cancer.
55079-83-9,Acitretin,1868X1622,DB00459,For the treatment of severe psoriasis in adults.
68-12-2,"N,N-dimethylformamide",1868X1663,DB01844,
,"2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-6-PYRIDINYL)METHYL]ACETAMIDE",1868X1814,,
66-76-2,Dicoumarol,1869X1616,DB00266,For decreasing blood clotting. Often used along with heparin for treatment of deep vein thrombosis.
,"(2s,4r)-1-Acetyl-N-[(1s)-4-[(Aminoiminomethyl)Amino]-1-(2-Benzothiazolylcarbonyl)Butyl]-4-Hydroxy-2-Pyrrolidinecarboxamide",1869X1691,DB02812,
,MLN-977,1869X1766,,Investigated for use/treatment in asthma and chronic obstructive pulmonary disease (COPD).
20350-15-6,Brefeldin A,1869X1808,,
41294-56-8,Alfacalcidol,1870X1651,,"Alfacalcidol is an active metabolite of Vitamin D, which performs important functions in regulation of the calcium balance and the bone metabolism."
,Dodecane-Trimethylamine,1870X1690,DB02779,
252920-94-8,Solabegron,1870X1779,,"Investigated for use/treatment in diabetes mellitus type 2, irritable bowel syndrome (IBS), and urinary incontinence."
,"2-(4-(AMINOMETHYL)PIPERIDIN-1-YL)-N-(3_CYCLOHEXYL-4-OXO-2,4-DIHYDROINDENO[1,2-C]PYRAZOL-5-YL)ACETAMIDE",1870X1816,,
,UBIQUINONE-1,1870X1848,,
130929-57-6,Entacapone,1871X1623,DB00494,"Used as an adjunct to levodopa / carbidopa in the symptomatic treatment of patients with idiopathic Parkinson's Disease who experience the signs and symptoms of end-of-dose ""wearing-off""."
143-07-7,Lauric Acid,1871X1697,DB03017,
133804-44-1,Caldaret,1871X1780,,Investigated for use/treatment in heart disease and myocardial infarction.
,"5-(4-METHYL-BENZOYLAMINO)-BIPHENYL-3,4'-DICARBOXYLIC ACID 3-DIMETHYLAMIDE-4'-HYDROXYAMIDE",1871X1815,,
7439-93-2,Lithium,1872X1649,,"Lithium is used as a mood stabilizer, and is used for treatment of depression and mania. It is often used in bipolar disorder treatment."
,1-Octadecyl-2-Acetamido-2-Deoxy-Sn-Glycerol-3-Phosphoethylmethyl Sulfide,1872X1729,DB04112,
,RPI-78M,1872X1771,,"Investigated for use/treatment in multiple sclerosis, neurologic disorders, and pain (acute or chronic)."
797-63-7,Levonorgestrel,1873X1619,DB00367,For the treatment of menopausal and postmenopausal disorders and alone or in combination with other hormones as an oral contraceptive.
,4'-Deoxy-4'-Acetylyamino-Pyridoxal-5'-Phosphate,1873X1690,DB02783,
,ISIS 113715,1873X1768,,Investigated for use/treatment in diabetes mellitus type 2.
