Source_label,:TYPE,Target_label,HSA,Bliss,Loewe,ZIP
Pazopanib,HAS_ANTAGONISM_WITH,Acetazolamide,-12.37,-25.58,-12.37,-25.58
Acetazolamide,HAS_ANTAGONISM_WITH,Pazopanib,-12.37,-25.58,-12.37,-25.58
Pazopanib,HAS_SYNERGISM_WITH,Azatadine,62.42,49.49,62.42,49.49
Azatadine,HAS_SYNERGISM_WITH,Pazopanib,62.42,49.49,62.42,49.49
Pazopanib,HAS_ANTAGONISM_WITH,Acetohexamide,-21.24,-33.3,-21.24,-33.3
Acetohexamide,HAS_ANTAGONISM_WITH,Pazopanib,-21.24,-33.3,-21.24,-33.3
Pazopanib,HAS_ANTAGONISM_WITH,Albendazole,2.91,-0.29,2.88,-0.29
Albendazole,HAS_ANTAGONISM_WITH,Pazopanib,2.91,-0.29,2.88,-0.29
Pazopanib,HAS_SYNERGISM_WITH,Dronedarone,31.26,19.55,31.26,19.55
Dronedarone,HAS_SYNERGISM_WITH,Pazopanib,31.26,19.55,31.26,19.55
Pazopanib,HAS_SYNERGISM_WITH,Ramelteon,68.21,55.39,68.21,55.39
Ramelteon,HAS_SYNERGISM_WITH,Pazopanib,68.21,55.39,68.21,55.39
Pazopanib,HAS_ANTAGONISM_WITH,Amantadine,-13.8,-27.92,-13.8,-27.92
Amantadine,HAS_ANTAGONISM_WITH,Pazopanib,-13.8,-27.92,-13.8,-27.92
Pazopanib,HAS_ANTAGONISM_WITH,Theophylline,-16.76,-29.93,-16.78,-29.93
Theophylline,HAS_ANTAGONISM_WITH,Pazopanib,-16.76,-29.93,-16.78,-29.93
Pazopanib,HAS_ANTAGONISM_WITH,Tolvaptan,9.94,-5.58,9.94,-5.58
Tolvaptan,HAS_ANTAGONISM_WITH,Pazopanib,9.94,-5.58,9.94,-5.58
Pazopanib,HAS_SYNERGISM_WITH,Amodiaquine,68.0,54.49,68.0,54.49
Amodiaquine,HAS_SYNERGISM_WITH,Pazopanib,68.0,54.49,68.0,54.49
Pazopanib,HAS_ANTAGONISM_WITH,Amoxapine,3.84,-11.59,3.84,-11.59
Amoxapine,HAS_ANTAGONISM_WITH,Pazopanib,3.84,-11.59,3.84,-11.59
Pazopanib,HAS_ANTAGONISM_WITH,Anastrozole,-21.08,-34.74,-21.08,-34.74
Anastrozole,HAS_ANTAGONISM_WITH,Pazopanib,-21.08,-34.74,-21.08,-34.74
Pazopanib,HAS_SYNERGISM_WITH,Lacosamide,69.75,56.07,69.75,56.07
Lacosamide,HAS_SYNERGISM_WITH,Pazopanib,69.75,56.07,69.75,56.07
Pazopanib,HAS_ANTAGONISM_WITH,2-(4-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)PHENYL)ETHANAMIDE,-1.16,-14.39,-1.16,-14.39
2-(4-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)PHENYL)ETHANAMIDE,HAS_ANTAGONISM_WITH,Pazopanib,-1.16,-14.39,-1.16,-14.39
Pazopanib,HAS_ANTAGONISM_WITH,Baclofen,-14.99,-27.12,-14.99,-27.12
Baclofen,HAS_ANTAGONISM_WITH,Pazopanib,-14.99,-27.12,-14.99,-27.12
Pazopanib,HAS_SYNERGISM_WITH,Auranofin,7.81,5.45,7.74,5.45
Auranofin,HAS_SYNERGISM_WITH,Pazopanib,7.81,5.45,7.74,5.45
Pazopanib,HAS_ANTAGONISM_WITH,Bumetanide,-11.61,-25.45,-11.61,-25.45
Bumetanide,HAS_ANTAGONISM_WITH,Pazopanib,-11.61,-25.45,-11.61,-25.45
Pazopanib,HAS_ANTAGONISM_WITH,Buspirone,-16.34,-29.32,-16.34,-29.32
Buspirone,HAS_ANTAGONISM_WITH,Pazopanib,-16.34,-29.32,-16.34,-29.32
Pazopanib,HAS_ANTAGONISM_WITH,Carisoprodol,-16.27,-30.57,-16.28,-30.57
Carisoprodol,HAS_ANTAGONISM_WITH,Pazopanib,-16.27,-30.57,-16.28,-30.57
Pazopanib,HAS_ANTAGONISM_WITH,Carmustine,-23.04,-36.37,-23.04,-36.37
Carmustine,HAS_ANTAGONISM_WITH,Pazopanib,-23.04,-36.37,-23.04,-36.37
Pazopanib,HAS_ANTAGONISM_WITH,Levamisole,-18.5,-31.43,-18.5,-31.43
Levamisole,HAS_ANTAGONISM_WITH,Pazopanib,-18.5,-31.43,-18.5,-31.43
Pazopanib,HAS_ANTAGONISM_WITH,Chloroquine,0.8,-10.81,0.8,-10.81
Chloroquine,HAS_ANTAGONISM_WITH,Pazopanib,0.8,-10.81,0.8,-10.81
Pazopanib,HAS_SYNERGISM_WITH,Chlorzoxazone,19.12,12.74,19.11,12.74
Chlorzoxazone,HAS_SYNERGISM_WITH,Pazopanib,19.12,12.74,19.11,12.74
Pazopanib,HAS_ANTAGONISM_WITH,Tamoxifen,-14.88,-35.36,-14.88,-35.36
Tamoxifen,HAS_ANTAGONISM_WITH,Pazopanib,-14.88,-35.36,-14.88,-35.36
Pazopanib,HAS_SYNERGISM_WITH,Citalopram,69.6,56.89,69.6,56.89
Citalopram,HAS_SYNERGISM_WITH,Pazopanib,69.6,56.89,69.6,56.89
Pazopanib,HAS_ANTAGONISM_WITH,Clofibrate,-22.28,-35.45,-22.29,-35.45
Clofibrate,HAS_ANTAGONISM_WITH,Pazopanib,-22.28,-35.45,-22.29,-35.45
Pazopanib,HAS_ANTAGONISM_WITH,Maraviroc,-5.71,-18.0,-5.71,-18.0
Maraviroc,HAS_ANTAGONISM_WITH,Pazopanib,-5.71,-18.0,-5.71,-18.0
Pazopanib,HAS_ANTAGONISM_WITH,Eflornithine,-16.76,-31.3,-16.77,-31.3
Eflornithine,HAS_ANTAGONISM_WITH,Pazopanib,-16.76,-31.3,-16.77,-31.3
Pazopanib,HAS_ANTAGONISM_WITH,Diazoxide,-2.73,-3.87,-2.76,-3.87
Diazoxide,HAS_ANTAGONISM_WITH,Pazopanib,-2.73,-3.87,-2.76,-3.87
Pazopanib,HAS_ANTAGONISM_WITH,Nizatidine,-21.14,-32.15,-21.14,-32.15
Nizatidine,HAS_ANTAGONISM_WITH,Pazopanib,-21.14,-32.15,-21.14,-32.15
Pazopanib,HAS_ANTAGONISM_WITH,Orlistat,-20.41,-33.89,-20.41,-33.89
Orlistat,HAS_ANTAGONISM_WITH,Pazopanib,-20.41,-33.89,-20.41,-33.89
Pazopanib,HAS_SYNERGISM_WITH,Quinine,33.56,22.22,33.55,22.22
Quinine,HAS_SYNERGISM_WITH,Pazopanib,33.56,22.22,33.55,22.22
Pazopanib,HAS_ANTAGONISM_WITH,Asenapine,-12.95,-24.52,-12.95,-24.52
Asenapine,HAS_ANTAGONISM_WITH,Pazopanib,-12.95,-24.52,-12.95,-24.52
Pazopanib,HAS_ANTAGONISM_WITH,Diclofenamide,-2.56,-18.34,-2.57,-18.34
Diclofenamide,HAS_ANTAGONISM_WITH,Pazopanib,-2.56,-18.34,-2.57,-18.34
Pazopanib,HAS_ANTAGONISM_WITH,Diethylcarbamazine,-22.0,-36.41,-22.0,-36.41
Diethylcarbamazine,HAS_ANTAGONISM_WITH,Pazopanib,-22.0,-36.41,-22.0,-36.41
Pazopanib,HAS_ANTAGONISM_WITH,Diphenidol,3.34,-9.37,3.34,-9.37
Diphenidol,HAS_ANTAGONISM_WITH,Pazopanib,3.34,-9.37,3.34,-9.37
Pazopanib,HAS_ANTAGONISM_WITH,Dipyridamole,-34.75,-46.81,-34.79,-46.81
Dipyridamole,HAS_ANTAGONISM_WITH,Pazopanib,-34.75,-46.81,-34.79,-46.81
Pazopanib,HAS_SYNERGISM_WITH,Disulfiram,8.38,5.63,8.31,5.63
Disulfiram,HAS_SYNERGISM_WITH,Pazopanib,8.38,5.63,8.31,5.63
Pazopanib,HAS_SYNERGISM_WITH,Valproic Acid,46.94,40.3,46.93,40.3
Valproic Acid,HAS_SYNERGISM_WITH,Pazopanib,46.94,40.3,46.93,40.3
Pazopanib,HAS_ANTAGONISM_WITH,Doxapram,-20.91,-39.71,-20.91,-39.71
Doxapram,HAS_ANTAGONISM_WITH,Pazopanib,-20.91,-39.71,-20.91,-39.71
Pazopanib,HAS_SYNERGISM_WITH,Doxorubicin,6.13,4.97,6.04,4.97
Doxorubicin,HAS_SYNERGISM_WITH,Pazopanib,6.13,4.97,6.04,4.97
Pazopanib,HAS_ANTAGONISM_WITH,Enoxacin,-22.39,-35.09,-22.39,-35.09
Enoxacin,HAS_ANTAGONISM_WITH,Pazopanib,-22.39,-35.09,-22.39,-35.09
Pazopanib,HAS_SYNERGISM_WITH,Felbamate,26.15,8.02,26.14,8.02
Felbamate,HAS_SYNERGISM_WITH,Pazopanib,26.15,8.02,26.14,8.02
Pazopanib,HAS_ANTAGONISM_WITH,Fenoprofen,-15.25,-25.75,-15.27,-25.75
Fenoprofen,HAS_ANTAGONISM_WITH,Pazopanib,-15.25,-25.75,-15.27,-25.75
Pazopanib,HAS_SYNERGISM_WITH,Flumazenil,71.81,58.69,71.81,58.69
Flumazenil,HAS_SYNERGISM_WITH,Pazopanib,71.81,58.69,71.81,58.69
Pazopanib,HAS_SYNERGISM_WITH,Fluorouracil,8.85,3.18,8.86,14.37
Fluorouracil,HAS_SYNERGISM_WITH,Pazopanib,8.85,3.18,8.86,14.37
Pazopanib,HAS_ANTAGONISM_WITH,Flutamide,-17.64,-38.76,-17.64,-38.76
Flutamide,HAS_ANTAGONISM_WITH,Pazopanib,-17.64,-38.76,-17.64,-38.76
Pazopanib,HAS_SYNERGISM_WITH,Fomepizole,69.47,57.25,69.46,57.25
Fomepizole,HAS_SYNERGISM_WITH,Pazopanib,69.47,57.25,69.46,57.25
Pazopanib,HAS_SYNERGISM_WITH,Gabapentin,58.05,47.0,58.04,47.0
Gabapentin,HAS_SYNERGISM_WITH,Pazopanib,58.05,47.0,58.04,47.0
Pazopanib,HAS_SYNERGISM_WITH,Guanfacine,36.19,22.93,36.19,22.93
Guanfacine,HAS_SYNERGISM_WITH,Pazopanib,36.19,22.93,36.19,22.93
Pazopanib,HAS_ANTAGONISM_WITH,Hydralazine,-15.12,-34.74,-15.14,-34.74
Hydralazine,HAS_ANTAGONISM_WITH,Pazopanib,-15.12,-34.74,-15.14,-34.74
Pazopanib,HAS_ANTAGONISM_WITH,Hydroxychloroquine,-21.58,-33.42,-21.58,-33.42
Hydroxychloroquine,HAS_ANTAGONISM_WITH,Pazopanib,-21.58,-33.42,-21.58,-33.42
Pazopanib,HAS_ANTAGONISM_WITH,Hydroxyurea,-3.52,-4.43,-3.53,-4.43
Hydroxyurea,HAS_ANTAGONISM_WITH,Pazopanib,-3.52,-4.43,-3.53,-4.43
Pazopanib,HAS_ANTAGONISM_WITH,Imipramine,-19.71,-32.64,-19.71,-32.64
Imipramine,HAS_ANTAGONISM_WITH,Pazopanib,-19.71,-32.64,-19.71,-32.64
Pazopanib,HAS_ANTAGONISM_WITH,Ribavirin,-10.45,-13.08,-10.48,-13.08
Ribavirin,HAS_ANTAGONISM_WITH,Pazopanib,-10.45,-13.08,-10.48,-13.08
Pazopanib,HAS_ANTAGONISM_WITH,Isoprenaline,-14.1,-24.33,-14.15,-24.33
Isoprenaline,HAS_ANTAGONISM_WITH,Pazopanib,-14.1,-24.33,-14.15,-24.33
Pazopanib,HAS_ANTAGONISM_WITH,Guanadrel,4.75,-11.01,4.74,-11.01
Guanadrel,HAS_ANTAGONISM_WITH,Pazopanib,4.75,-11.01,4.74,-11.01
Pazopanib,HAS_SYNERGISM_WITH,Lamotrigine,51.42,36.0,51.42,36.0
Lamotrigine,HAS_SYNERGISM_WITH,Pazopanib,51.42,36.0,51.42,36.0
Pazopanib,HAS_ANTAGONISM_WITH,Lansoprazole,9.6,-8.93,9.58,-8.93
Lansoprazole,HAS_ANTAGONISM_WITH,Pazopanib,9.6,-8.93,9.58,-8.93
Pazopanib,HAS_ANTAGONISM_WITH,Methyldopa,3.82,-9.25,3.81,-9.25
Methyldopa,HAS_ANTAGONISM_WITH,Pazopanib,3.82,-9.25,3.81,-9.25
Pazopanib,HAS_SYNERGISM_WITH,Leflunomide,10.88,8.41,10.87,8.41
Leflunomide,HAS_SYNERGISM_WITH,Pazopanib,10.88,8.41,10.87,8.41
Pazopanib,HAS_ANTAGONISM_WITH,Loperamide,-18.91,-30.53,-18.91,-30.53
Loperamide,HAS_ANTAGONISM_WITH,Pazopanib,-18.91,-30.53,-18.91,-30.53
Pazopanib,HAS_SYNERGISM_WITH,Maprotiline,30.9,17.25,30.86,17.25
Maprotiline,HAS_SYNERGISM_WITH,Pazopanib,30.9,17.25,30.86,17.25
Pazopanib,HAS_ANTAGONISM_WITH,Mebendazole,-18.66,-31.62,-18.66,-31.62
Mebendazole,HAS_ANTAGONISM_WITH,Pazopanib,-18.66,-31.62,-18.66,-31.62
Pazopanib,HAS_SYNERGISM_WITH,Mecamylamine,29.5,17.25,29.5,17.25
Mecamylamine,HAS_SYNERGISM_WITH,Pazopanib,29.5,17.25,29.5,17.25
Pazopanib,HAS_SYNERGISM_WITH,Meclofenamic acid,20.59,4.14,20.57,4.14
Meclofenamic acid,HAS_SYNERGISM_WITH,Pazopanib,20.59,4.14,20.57,4.14
Pazopanib,HAS_SYNERGISM_WITH,Mefloquine,1.71,0.52,1.65,0.52
Mefloquine,HAS_SYNERGISM_WITH,Pazopanib,1.71,0.52,1.65,0.52
Pazopanib,HAS_ANTAGONISM_WITH,Memantine,-14.11,-27.02,-14.11,-27.02
Memantine,HAS_ANTAGONISM_WITH,Pazopanib,-14.11,-27.02,-14.11,-27.02
Pazopanib,HAS_ANTAGONISM_WITH,Mephenytoin,-12.03,-27.42,-12.04,-27.42
Mephenytoin,HAS_ANTAGONISM_WITH,Pazopanib,-12.03,-27.42,-12.04,-27.42
Pazopanib,HAS_ANTAGONISM_WITH,Mesalazine,-19.26,-30.82,-19.26,-30.82
Mesalazine,HAS_ANTAGONISM_WITH,Pazopanib,-19.26,-30.82,-19.26,-30.82
Pazopanib,HAS_ANTAGONISM_WITH,Metformin,-21.91,-34.11,-21.91,-34.11
Metformin,HAS_ANTAGONISM_WITH,Pazopanib,-21.91,-34.11,-21.91,-34.11
Pazopanib,HAS_ANTAGONISM_WITH,Methyclothiazide,-21.09,-33.93,-21.09,-33.93
Methyclothiazide,HAS_ANTAGONISM_WITH,Pazopanib,-21.09,-33.93,-21.09,-33.93
Pazopanib,HAS_ANTAGONISM_WITH,Metronidazole,-15.47,-26.59,-15.47,-26.59
Metronidazole,HAS_ANTAGONISM_WITH,Pazopanib,-15.47,-26.59,-15.47,-26.59
Pazopanib,HAS_ANTAGONISM_WITH,Acarbose,-14.89,-26.37,-14.89,-26.37
Acarbose,HAS_ANTAGONISM_WITH,Pazopanib,-14.89,-26.37,-14.89,-26.37
Pazopanib,HAS_ANTAGONISM_WITH,Milrinone,-13.95,-26.94,-13.95,-26.94
Milrinone,HAS_ANTAGONISM_WITH,Pazopanib,-13.95,-26.94,-13.95,-26.94
Pazopanib,HAS_SYNERGISM_WITH,Minoxidil,66.63,54.53,66.63,54.53
Minoxidil,HAS_SYNERGISM_WITH,Pazopanib,66.63,54.53,66.63,54.53
Pazopanib,HAS_ANTAGONISM_WITH,Mitotane,1.07,-7.19,1.04,-7.19
Mitotane,HAS_ANTAGONISM_WITH,Pazopanib,1.07,-7.19,1.04,-7.19
Pazopanib,HAS_SYNERGISM_WITH,Mitoxantrone,3.77,2.8,3.69,2.8
Mitoxantrone,HAS_SYNERGISM_WITH,Pazopanib,3.77,2.8,3.69,2.8
Pazopanib,HAS_ANTAGONISM_WITH,Sitagliptin,-22.51,-36.55,-22.51,-36.55
Sitagliptin,HAS_ANTAGONISM_WITH,Pazopanib,-22.51,-36.55,-22.51,-36.55
Pazopanib,HAS_ANTAGONISM_WITH,Pentostatin,-16.2,-30.0,-16.2,-30.0
Pentostatin,HAS_ANTAGONISM_WITH,Pazopanib,-16.2,-30.0,-16.2,-30.0
Pazopanib,HAS_SYNERGISM_WITH,Digitoxin,5.3,4.2,5.21,4.2
Digitoxin,HAS_SYNERGISM_WITH,Pazopanib,5.3,4.2,5.21,4.2
Pazopanib,HAS_ANTAGONISM_WITH,Abacavir,-21.26,-37.96,-21.26,-37.96
Abacavir,HAS_ANTAGONISM_WITH,Pazopanib,-21.26,-37.96,-21.26,-37.96
Pazopanib,HAS_ANTAGONISM_WITH,Miglitol,-21.89,-34.26,-21.89,-34.26
Miglitol,HAS_ANTAGONISM_WITH,Pazopanib,-21.89,-34.26,-21.89,-34.26
Pazopanib,HAS_ANTAGONISM_WITH,Metyrosine,-13.67,-24.98,-13.67,-24.98
Metyrosine,HAS_ANTAGONISM_WITH,Pazopanib,-13.67,-24.98,-13.67,-24.98
Pazopanib,HAS_ANTAGONISM_WITH,Tacrolimus,-9.69,-20.64,-9.69,-20.64
Tacrolimus,HAS_ANTAGONISM_WITH,Pazopanib,-9.69,-20.64,-9.69,-20.64
Pazopanib,HAS_SYNERGISM_WITH,Mycophenolic acid,5.76,4.75,5.72,4.75
Mycophenolic acid,HAS_SYNERGISM_WITH,Pazopanib,5.76,4.75,5.72,4.75
Pazopanib,HAS_ANTAGONISM_WITH,Eptifibatide,-16.08,-29.67,-16.08,-29.67
Eptifibatide,HAS_ANTAGONISM_WITH,Pazopanib,-16.08,-29.67,-16.08,-29.67
Pazopanib,HAS_ANTAGONISM_WITH,Nisoldipine,-8.84,-22.12,-8.84,-22.12
Nisoldipine,HAS_ANTAGONISM_WITH,Pazopanib,-8.84,-22.12,-8.84,-22.12
Pazopanib,HAS_SYNERGISM_WITH,Dactinomycin,-0.18,-1.15,-0.16,15.53
Dactinomycin,HAS_SYNERGISM_WITH,Pazopanib,-0.18,-1.15,-0.16,15.53
Pazopanib,HAS_ANTAGONISM_WITH,Aminosalicylic Acid,-15.3,-36.25,-15.31,-36.25
Aminosalicylic Acid,HAS_ANTAGONISM_WITH,Pazopanib,-15.3,-36.25,-15.31,-36.25
Pazopanib,HAS_SYNERGISM_WITH,Pamidronate,53.26,43.93,53.26,43.93
Pamidronate,HAS_SYNERGISM_WITH,Pazopanib,53.26,43.93,53.26,43.93
Pazopanib,HAS_ANTAGONISM_WITH,Pargyline,-9.19,-22.49,-9.19,-22.49
Pargyline,HAS_ANTAGONISM_WITH,Pazopanib,-9.19,-22.49,-9.19,-22.49
Pazopanib,HAS_ANTAGONISM_WITH,Primidone,-16.85,-29.23,-16.85,-29.23
Primidone,HAS_ANTAGONISM_WITH,Pazopanib,-16.85,-29.23,-16.85,-29.23
Pazopanib,HAS_ANTAGONISM_WITH,Probenecid,-4.3,-18.99,-4.32,-18.99
Probenecid,HAS_ANTAGONISM_WITH,Pazopanib,-4.3,-18.99,-4.32,-18.99
Pazopanib,HAS_ANTAGONISM_WITH,Probucol,-20.65,-32.6,-20.65,-32.6
Probucol,HAS_ANTAGONISM_WITH,Pazopanib,-20.65,-32.6,-20.65,-32.6
Pazopanib,HAS_SYNERGISM_WITH,Procarbazine,21.9,8.24,21.9,8.24
Procarbazine,HAS_SYNERGISM_WITH,Pazopanib,21.9,8.24,21.9,8.24
Pazopanib,HAS_ANTAGONISM_WITH,Riluzole,-19.83,-34.49,-19.83,-34.49
Riluzole,HAS_ANTAGONISM_WITH,Pazopanib,-19.83,-34.49,-19.83,-34.49
Pazopanib,HAS_ANTAGONISM_WITH,Risperidone,10.78,-3.32,10.78,-3.32
Risperidone,HAS_ANTAGONISM_WITH,Pazopanib,10.78,-3.32,10.78,-3.32
Pazopanib,HAS_ANTAGONISM_WITH,Miglustat,-2.22,-15.95,-2.23,-15.95
Miglustat,HAS_ANTAGONISM_WITH,Pazopanib,-2.22,-15.95,-2.23,-15.95
Pazopanib,HAS_ANTAGONISM_WITH,Entacapone,-20.74,-33.13,-20.74,-33.13
Entacapone,HAS_ANTAGONISM_WITH,Pazopanib,-20.74,-33.13,-20.74,-33.13
Pazopanib,HAS_SYNERGISM_WITH,Acitretin,27.83,12.07,27.79,12.07
Acitretin,HAS_SYNERGISM_WITH,Pazopanib,27.83,12.07,27.79,12.07
Pazopanib,HAS_SYNERGISM_WITH,Levetiracetam,31.03,18.24,31.01,18.24
Levetiracetam,HAS_SYNERGISM_WITH,Pazopanib,31.03,18.24,31.01,18.24
Pazopanib,HAS_ANTAGONISM_WITH,Nabilone,-0.72,-10.87,-0.72,-10.87
Nabilone,HAS_ANTAGONISM_WITH,Pazopanib,-0.72,-10.87,-0.72,-10.87
Pazopanib,HAS_ANTAGONISM_WITH,Topiramate,-18.81,-33.1,-18.81,-33.1
Topiramate,HAS_ANTAGONISM_WITH,Pazopanib,-18.81,-33.1,-18.81,-33.1
Pazopanib,HAS_SYNERGISM_WITH,Imatinib,2.71,0.58,2.64,0.58
Imatinib,HAS_SYNERGISM_WITH,Pazopanib,2.71,0.58,2.64,0.58
Pazopanib,HAS_SYNERGISM_WITH,Dexmedetomidine,14.21,1.52,14.21,1.52
