ID	Type	name
104	Complex	"complex(a(GO:""cytoplasmic stress granule""),p(HGNC:""TARDBP""))"
105	Complex	"complex(p(HGNC:""FADD""),p(HGNC:""FAF1""))"
106	Complex	"complex(p(RGD:""Egfr""),p(RGD:""Erbb3""))"
107	Complex	"complex(p(HGNC:""DOK3"",pmod(Ph)),p(HGNC:""TYROBP"",pmod(Ph)))"
108	Complex	"complex(p(HGNC:""IRS2"",pmod(Ph,Y)),p(HGNC:""PTPN11""))"
109	Complex	"complex(p(HGNC:""MCM8""),p(HGNC:""MCMBP""))"
110	Complex	"complex(a(CHEBI:""novobiocin""),p(INTERPRO:""HSP90, C-terminal domain""))"
111	Complex	"complex(p(HGNC:""CIR1""),p(HGNC:""NCOR2""),p(HGNC:""SAP30""),p(HGNC:""SIN3A""),composite(p(HGNC:""HDAC1""),p(HGNC:""HDAC2"")))"
112	Complex	"complex(GO:""ripoptosome"")"
113	Complex	"complex(p(HGNC:""PDRG1""),p(HGNC:""PFDN2""))"
114	Complex	"complex(a(GO:""microtubule""),p(HGNC:""MAPT"",frag(""124_441"")))"
115	Complex	"complex(composite(p(HGNC:""TBC1D7""),p(KEGG:""hsa:107080638"")),composite(p(HGNC:""TSC1""),p(HGNC:""TSC2"")))"
116	Complex	"complex(p(HGNC:""TICAM1""),p(HGNC:""TLR4""))"
117	Complex	"complex(p(HGNC:""PPP2R1A""),p(HGNC:""PPP2R3A""))"
118	Complex	"complex(a(CHEBI:""amyloid-beta""),a(MESH:""alpha7 Nicotinic Acetylcholine Receptor""))"
119	Complex	"complex(p(HGNC:""BMP7""),p(HGNC:""GDF7""))"
120	Complex	"complex(p(RGD:""Irf7""),p(RGD:""Irf7""))"
121	Complex	"complex(composite(p(RGD:""Esr1""),p(RGD:""Esr2"")),composite(p(RGD:""Ncoa1""),p(RGD:""Ncoa2""),p(RGD:""Ncoa3"")))"
122	Complex	"complex(complex(GOCC:""extracellular matrix component""),p(HGNC:""SDC2""))"
123	Complex	"complex(p(HGNC:""PPP2CA""),p(INTERPRO:""Protein phosphatase 2A regulatory subunit PR55""))"
124	Complex	"complex(a(CHEBI:""amyloid-beta""),p(FPLX:""CHRN""),p(HGNC:""FLNA""))"
125	Complex	"complex(p(HGNC:""DCAF1""),p(HGNC:""DDB1""),composite(p(HGNC:""CUL4A""),p(HGNC:""CUL4B"")))"
126	Complex	"complex(p(HGNC:""MAPT""),p(HGNC:""SRC""))"
127	Complex	"complex(p(HGNC:""APBA1""),p(HGNC:""APP""),p(HGNC:""LRP8""))"
129	Complex	"complex(a(MESH:""Proteins""),a(MESH:""Ubiquitin""),p(HGNC:""UBA2""),p(HGNC:""UBA3""))"
130	Complex	"complex(p(HGNC:""CHRNA3""),p(HGNC:""CHRNA5""),p(HGNC:""CHRNB4""))"
131	Complex	"complex(p(MGI:""Ifnar1""),p(MGI:""Ifnar2""))"
132	Complex	"complex(p(HGNC:""EFNB2""),p(HGNC:""EPHB2""))"
133	Complex	"complex(p(HGNC:""APBA2""),p(HGNC:""NFKB1""))"
134	Complex	"complex(p(HGNC:""MAPT"",pmod(Ph,S,356)),p(HGNC:""STUB1""))"
135	Complex	"complex(p(HGNC:""RNF41""),p(INTERPRO:""Heat shock protein 70 family""),p(INTERPRO:""Heat shock protein Hsp90 family""))"
136	Complex	"complex(a(CHEBI:""sirolimus""),p(HGNC:""FKBP1A""))"
137	Complex	"complex(a(CHEBI:""amyloid-beta""),a(MESHA:""Microglia""))"
138	Complex	"complex(p(MGI:""Tnf""),p(MGI:""Tnfrsf1a""))"
139	Complex	"complex(a(CHEBI:""nicotine""),p(HGNC:""CHRNB2""))"
140	Complex	"complex(p(HGNC:""ITGA9""),p(HGNC:""ITGB1""))"
141	Complex	"complex(p(MGI:""Itga5""),p(MGI:""Itgb3""))"
142	Complex	"complex(p(HGNC:""SNCA"",var(""?"")),p(HGNC:""SNCA"",var(""?"")))"
143	Complex	"complex(p(HGNC:""SDC2""),p(SFAM:""PRKC Family""))"
144	Complex	"complex(p(HGNC:""MAPT""),p(INTERPRO:""Protein phosphatase 2A regulatory subunit PR55""))"
145	Complex	"complex(a(CHEBI:""acetylcholine""),p(HGNC:""CHRNA7""))"
146	Complex	"complex(p(MGI:""Myd88""),p(MGI:""Tirap""))"
147	Complex	"complex(p(MGI:""Abi2""),composite(p(MGI:""Cyfip1""),p(MGI:""Cyfip2"")),composite(p(MGI:""Nckap1""),p(MGI:""Nckap1l"")))"
148	Complex	"complex(p(MGI:""Tiam1""),composite(p(MGI:""Vav1""),p(MGI:""Vav2""),p(MGI:""Vav3"")))"
149	Complex	"complex(p(HGNC:""BAG1""),p(HGNC:""MAPT""))"
150	Complex	"complex(p(HGNC:""APOE""),p(HGNC:""LRP1B""))"
151	Complex	"complex(p(HGNC:""LRRK2""),p(HGNC:""RHOT1""))"
152	Complex	"complex(p(HGNC:""CHRNA7"",var(""p.345A""),var(""p.346A""),var(""p.347A""),var(""p.348A"")),p(HGNC:""GNAQ""))"
153	Complex	"complex(p(HGNC:""CDK2""),composite(p(HGNC:""CCNE1""),p(HGNC:""CCNE2"")))"
154	Complex	"complex(p(MGI:""Frmd6""),p(MGI:""Nf2""),p(MGI:""Wwc1""))"
155	Complex	"complex(a(MESHC:""TAT Peptide""),p(HGNC:""SDC4""))"
156	Complex	"complex(p(HGNC:""IGBP1""),p(HGNC:""PPP2CA""))"
157	Complex	"complex(p(HGNC:""CHRNA7""),p(HGNC:""GNAQ""))"
158	Complex	"complex(p(MGI:""Rela""),p(MGI:""Relb""))"
159	Complex	"complex(p(MGI:""Dock2""),p(MGI:""Elmo1""))"
160	Complex	"complex(p(HGNC:""CLCN7""),p(HGNC:""OSTM1""))"
161	Complex	"complex(a(MESH:""Dihydro-beta-Erythroidine""),p(HGNC:""CHRNB2""))"
162	Complex	"complex(a(GO:""protein phosphatase type 2A complex""),p(HGNC:""CDK5""))"
163	Complex	"complex(p(HGNC:""ATG101""),p(HGNC:""ATG13""),p(HGNC:""RB1CC1""),p(HGNC:""ULK1""))"
164	Complex	"complex(a(CHEBI:""sialic acid""),p(HGNC:""SIGLEC14""))"
165	Complex	"complex(p(HGNC:""CDK5""),p(HGNC:""NOS1""))"
166	Complex	"complex(p(HGNC:""PDRG1""),p(HGNC:""PFDN5""))"
167	Complex	"complex(a(GO:""microtubule""),a(MESH:""Dyneins""))"
168	Complex	"complex(composite(p(HGNC:""RRAGA""),p(HGNC:""RRAGB"")),composite(p(HGNC:""RRAGC""),p(HGNC:""RRAGD"")))"
169	Complex	"complex(a(MESH:""Microtubules""),p(HGNC:""MAPT""))"
170	Complex	"complex(a(CHEBI:""phosphatidylethanolamine""),p(HGNC:""MAP1LC3B""))"
171	Complex	"complex(p(HGNC:""MAP3K7""),composite(p(HGNC:""TAB1""),p(HGNC:""TAB2"")))"
172	Complex	"complex(p(RGD:""Brca2""),p(RGD:""Palb2""))"
173	Complex	"complex(p(MGI:""Dcc""),p(MGI:""Dcc""))"
174	Complex	"complex(a(MESH:""Microtubules""),p(RGD:""Mapt""))"
175	Complex	"complex(GOCC:""mitochondrial permeability transition pore complex"")"
176	Complex	"complex(p(HGNC:""TARDBP"",loc(GO:""cytoplasmic stress granule"")),r(HGNC:""HDAC6"",loc(GO:""cytoplasmic stress granule"")))"
177	Complex	"complex(p(HGNC:""FKBP5""),p(HGNC:""IKBKB""))"
178	Complex	"complex(p(HGNC:""TRAF2""),p(HGNC:""TRAF3""))"
179	Complex	"complex(p(MGI:""Ripk1""),p(MGI:""Tradd""),p(MGI:""Traf2""),p(MGI:""Traf5""))"
180	Complex	"complex(p(MGI:""Cdh5""),p(MGI:""Ctnnb1""),p(MGI:""Kdr""))"
181	Complex	"complex(p(HGNC:""ICOS""),p(HGNC:""ICOSLG""))"
182	Complex	"complex(p(HGNC:""BNIP3L""),p(HGNC:""MAP1LC3B""))"
183	Complex	"complex(p(FPLX:""G_protein""),p(HGNC:""CHRNA7""))"
184	Complex	"complex(p(HGNC:""CCNB2""),p(HGNC:""CDK1""))"
185	Complex	"complex(a(CHEBI:""phosphatidylethanolamine""),p(HGNC:""GABARAP""))"
186	Complex	"complex(p(HGNC:""GP1BA""),p(HGNC:""GP1BB""),p(HGNC:""GP5""),p(HGNC:""GP9""))"
187	Complex	"complex(composite(p(MGI:""Birc2""),p(MGI:""Birc3""),p(MGI:""Xiap"")),composite(p(MGI:""Rbck1""),p(MGI:""Rnf31""),p(MGI:""Sharpin"")))"
188	Complex	"complex(p(HGNC:""MAPRE1""),p(HGNC:""TTBK2""))"
189	Complex	"complex(p(HGNC:""KEAP1""),p(HGNC:""NFE2L2""))"
190	Complex	"complex(p(HGNC:""ATG12""),p(HGNC:""ATG16L1""),p(HGNC:""ATG5""))"
191	Complex	"complex(p(HGNC:""TARDBP""),p(MESH:""RNA""))"
192	Complex	"complex(p(HGNC:""EGFR""),p(HGNC:""ERBB3""))"
193	Complex	"complex(p(RGD:""Itga4""),p(RGD:""Itgb1""))"
194	Complex	"complex(p(RGD:""Grb2""),p(RGD:""Ptpn11""))"
195	Complex	"complex(a(CHEBI:""sialic acid""),p(HGNC:""SIGLEC8""))"
196	Complex	"complex(p(HGNC:""INS""),p(HGNC:""XBP1""))"
197	Complex	"complex(p(HGNC:""BTRC""),p(HGNC:""CTNNBIP1""))"
198	Complex	"complex(p(HGNC:""NRP1""),p(HGNC:""VEGFA""))"
199	Complex	"complex(p(HGNC:""FKBP4""),p(HGNC:""HSPA8""))"
200	Complex	"complex(a(MESH:""Neurofibrillary Tangles""),p(HGNC:""HSPB1""))"
201	Complex	"complex(composite(p(HGNC:""CREB1""),p(HGNC:""CREB3""),p(HGNC:""CREB3L1""),p(HGNC:""CREB3L2""),p(HGNC:""CREB3L3""),p(HGNC:""CREB3L4"")),composite(p(HGNC:""CREBBP""),p(HGNC:""EP300"")))"
202	Complex	"complex(p(MGI:""Itgam""),composite(p(MGI:""Itgb2""),p(MGI:""Itgb2l"")))"
203	Complex	"complex(a(CHEBI:""sialic acid""),p(HGNC:""SIGLEC1""))"
204	Complex	"complex(p(HGNC:""APAF1""),p(HGNC:""CYCS""))"
205	Complex	"complex(p(FPLX:""HSP90""),p(HGNC:""RPAP3""))"
206	Complex	"complex(p(HGNC:""DLG4""),p(HGNC:""GRIN2B""))"
207	Complex	"complex(p(MGI:""Traf3""),p(MGI:""Traf6""))"
208	Complex	"complex(p(HGNC:""MAP3K7""),p(HGNC:""TAB1""),complex(p(HGNC:""TAB2""),p(HGNC:""TAB3"")))"
209	Complex	"complex(g(HGNC:""CCL2""),g(HGNC:""CCR2""))"
210	Complex	"complex(a(GO:""myelin sheath""),a(MESH:""T-Lymphocytes""))"
211	Complex	"complex(composite(p(MGI:""Chrm1""),p(MGI:""Chrm2""),p(MGI:""F2r""),p(MGI:""Lpar1""),p(MGI:""Lpar2""),p(MGI:""Lpar3""),p(MGI:""Lpar4""),p(MGI:""Lpar5""),p(MGI:""Lpar6"")),composite(p(MGI:""Gm5741""),p(MGI:""Gnb1""),p(MGI:""Gnb2""),p(MGI:""Gnb3""),p(MGI:""Gnb4""),p(MGI:""Gnb5""),p(MGI:""Gng10""),p(MGI:""Gng11""),p(MGI:""Gng12""),p(MGI:""Gng13""),p(MGI:""Gng2""),p(MGI:""Gng3""),p(MGI:""Gng4""),p(MGI:""Gng5""),p(MGI:""Gng5-ps""),p(MGI:""Gng7""),p(MGI:""Gng8""),p(MGI:""Gngt1""),p(MGI:""Gngt2"")))"
212	Complex	"complex(a(CHEBI:""amyloid-beta""),p(HGNC:""CD36"",loc(MESHA:""Microglia"")))"
214	Complex	"complex(a(CHEBI:""amyloid-beta""),p(HGNC:""INSR""))"
215	Complex	"complex(a(MESH:""Proteins""),a(MESH:""Ubiquitin""))"
216	Complex	"complex(p(MGI:""Ern1""),p(MGI:""Traf2""))"
217	Complex	"complex(complex(GO:""microtubule""),p(HGNC:""PPP2CA""))"
218	Complex	"complex(a(CHEBI:""4-hydroxynon-2-enal""),p(HGNC:""SLC1A1""))"
219	Complex	"complex(a(CHEBI:""amyloid-beta""),a(CHEBI:""amyloid-beta""))"
220	Complex	"complex(p(HGNC:""UCHL1""),p(HGNC:""UCHL1""))"
222	Complex	"complex(composite(p(HGNC:""CCND1""),p(HGNC:""CCND2""),p(HGNC:""CCND3"")),composite(p(HGNC:""CDK4""),p(HGNC:""CDK6"")))"
223	Complex	"complex(p(MGI:""Egfr""),p(MGI:""Erbb3""))"
224	Complex	"complex(composite(p(RGD:""Maml1""),p(RGD:""Maml2""),p(RGD:""Maml3"")),composite(p(RGD:""Notch1""),p(RGD:""Notch2""),p(RGD:""Notch3""),p(RGD:""Notch4"")),composite(p(RGD:""Rbpj""),p(RGD:""Rbpjl""),p(RGD:""Rbpjl2"")))"
225	Complex	"complex(p(HGNC:""INPP5D""),p(SFAM:""PIK3C Class IA Family""))"
226	Complex	"complex(a(MESH:""Tacrolimus Binding Proteins""),p(INTERPRO:""Heat shock protein Hsp90 family""))"
227	Complex	"complex(a(GO:""lysosome""),p(MGI:""Lrrk2"",var(""?"")))"
228	Complex	"complex(p(MGI:""Rassf5""),composite(p(MGI:""Btrc""),p(MGI:""Fbxw11"")))"
229	Complex	"complex(p(RGD:""Cd14""),composite(p(RGD:""Tlr2""),p(RGD:""Tlr4"")))"
230	Complex	"complex(p(HGNC:""CD74""),p(HGNC:""CXCR4""))"
231	Complex	"complex(a(CHEBI:""galanthamine""),p(HGNC:""CHRNA2""))"
232	Complex	"complex(p(HGNC:""HIF1A""),p(HGNC:""VHL""))"
233	Complex	"complex(p(HGNC:""HSF1""),p(HGNC:""TP53""),p(INTERPRO:""Heat shock protein 70 family""))"
235	Complex	"complex(p(MGI:""Itga4""),p(MGI:""Itgb1""))"
236	Complex	"complex(p(HGNC:""C3"",frag(""1_1560"",""C3b"")),p(HGNC:""ITGAM""),p(HGNC:""ITGB2""))"
237	Complex	"complex(p(HGNC:""ADH1B""),p(HGNC:""APP"",frag(""672_713"")))"
238	Complex	"complex(p(HGNC:""CD33"",pmod(Ph,Y,358)),p(HGNC:""PTPN6"",var(""p.Arg139Lys"")))"
239	Complex	"complex(a(MESH:""methyllycaconitine""),p(HGNC:""CHRNA3"",loc(MESH:""Muscles"")))"
240	Complex	"complex(m(MIRBASE:""hsa-mir-128-2""),r(HGNC:""TFEB""))"
241	Complex	"complex(p(RGD:""Foxo1""),p(RGD:""Ppargc1a""))"
242	Complex	"complex(p(MGI:""Rara""),composite(p(MGI:""Rxra""),p(MGI:""Rxrb""),p(MGI:""Rxrg"")))"
243	Complex	"complex(p(HGNC:""MAVS""),p(HGNC:""TRAF3""),p(HGNC:""UBE2D1""))"
244	Complex	"complex(p(HGNC:""CTNNB1""),p(HGNC:""GSK3B""))"
245	Complex	"complex(GOCC:""Wnt-Frizzled-LRP5/6 complex"")"
246	Complex	"complex(p(HGNC:""PPP2R1A""),p(HGNC:""STRN""))"
247	Complex	"complex(p(HGNC:""TLR2""),p(HGNC:""TLR6""))"
248	Complex	"complex(p(HGNC:""KIF3A""),composite(p(HGNC:""ARRB1""),p(HGNC:""ARRB2"")))"
249	Complex	"complex(p(MGI:""Ikbkg""),composite(p(MGI:""Chuk""),p(MGI:""Ikbkb"")))"
250	Complex	"complex(p(RGD:""Apaf1""),composite(p(RGD:""Cycs""),p(RGD:""Cyct""),p(RGD:""LOC100363502"")))"
251	Complex	"complex(a(MESH:""Dihydro-beta-Erythroidine""),a(MESH:""nicotinic receptor alpha4beta2""))"
252	Complex	"complex(a(GO:""protein phosphatase type 2A complex""),p(HGNC:""GSK3B""))"
253	Complex	"complex(p(RGD:""Akt1s1""),p(RGD:""Deptor""),p(RGD:""Mlst8""),p(RGD:""Mtor""),p(RGD:""Rptor""))"
254	Complex	"complex(p(HGNC:""MAPT""),p(HGNC:""PPP2CA""),p(HGNC:""PPP2CB""))"
255	Complex	"complex(p(HGNC:""APBA3""),p(HGNC:""APP""),p(HGNC:""LRP8""))"
257	Complex	"complex(p(HGNC:""HSPD1""),p(HGNC:""HSPE1""))"
258	Complex	"complex(p(HGNC:""OPTN""),p(HGNC:""OPTN"",var(""p.Glu478Gly"")))"
